model,closest_language,closest_distance,closest_asr,farthest_language,farthest_distance,farthest_asr,gap
ai_sweden_llama3_8b,swe,0.0,0.7258064516129032,swa,0.5954,0.09061488673139159,-0.6351915648815116
bggpt_7b,bul,0.0,0.9035369774919614,swa,0.5387,0.12944983818770225,-0.7740871393042591
bggpt_gemma_9b,bul,0.0,0.09003215434083602,swa,0.5387,0.1779935275080906,0.0879613731672546
gpt_sw3,swe,0.0,0.5935483870967742,swa,0.5954,0.02912621359223301,-0.5644221735045412
llama3_1_8b_reference,eng,0.0,0.025559105431309903,swa,0.5467,0.39158576051779936,0.36602665508648946
llamantino_2_ultrachat_7b,ita,0.0,0.670926517571885,nor,0.5863,0.535483870967742,-0.13544264660414307
llamantino_anita_8b,ita,0.0,0.08306709265175719,nor,0.5863,0.08038585209003216,-0.002681240561725029
sabia_3,por,0.0,0.05448717948717949,nor,0.5341,0.08038585209003216,0.025898672602852668
sagui_7b,por,0.0,0.9198717948717948,nor,0.5341,0.6463022508038585,-0.2735695440679363
