model,predictor,n,spearman_rho,ci_low,ci_high,p_value,interval_method,interpretation
ai_sweden_llama3_8b,distance,13,-0.5604395604395604,-0.8920607023626091,0.11235955056179775,,paired_language_cell_percentile_bootstrap_10000,descriptive_only_purposive_language_inventory
bggpt_7b,distance,13,-0.35714285714285715,-0.8543620233608763,0.3333333333333333,,paired_language_cell_percentile_bootstrap_10000,descriptive_only_purposive_language_inventory
bggpt_gemma_9b,distance,13,0.4175824175824176,-0.23210172321077427,0.8440219746208603,,paired_language_cell_percentile_bootstrap_10000,descriptive_only_purposive_language_inventory
gpt_sw3,distance,13,-0.6813186813186813,-0.9329608938547486,-0.18206646294881598,,paired_language_cell_percentile_bootstrap_10000,descriptive_only_purposive_language_inventory
llama3_1_8b_reference,distance,13,0.34065934065934067,-0.31055088702147526,0.8100644081116634,,paired_language_cell_percentile_bootstrap_10000,descriptive_only_purposive_language_inventory
llamantino_2_ultrachat_7b,distance,13,-0.7235220049631593,-0.9057811961631136,-0.26912181303116145,,paired_language_cell_percentile_bootstrap_10000,descriptive_only_purposive_language_inventory
llamantino_anita_8b,distance,13,0.16231102012481521,-0.3898305084745763,0.5932203389830508,,paired_language_cell_percentile_bootstrap_10000,descriptive_only_purposive_language_inventory
sabia_3,distance,13,0.521978021978022,0.05140690208667739,0.7821229050279329,,paired_language_cell_percentile_bootstrap_10000,descriptive_only_purposive_language_inventory
sagui_7b,distance,13,-0.532967032967033,-0.8319327731092437,-0.05083325442666435,,paired_language_cell_percentile_bootstrap_10000,descriptive_only_purposive_language_inventory
