aligned_language,model,model_alignment_pole,model_asr,reference_model,reference_asr_same_language,asr_gap_model_minus_reference,model_n,reference_n
bul,bggpt_gemma_9b,strong,0.09003215434083602,llama3_1_8b_reference,0.19614147909967847,-0.10610932475884245,311,311
bul,bggpt_7b,weak,0.9035369774919614,llama3_1_8b_reference,0.19614147909967847,0.7073954983922829,311,311
ita,llamantino_anita_8b,strong,0.08306709265175719,llama3_1_8b_reference,0.06070287539936102,0.022364217252396165,313,313
ita,llamantino_2_ultrachat_7b,weak,0.670926517571885,llama3_1_8b_reference,0.06070287539936102,0.610223642172524,313,313
por,sabia_3,strong,0.05448717948717949,llama3_1_8b_reference,0.09615384615384616,-0.04166666666666667,312,312
por,sagui_7b,weak,0.9198717948717948,llama3_1_8b_reference,0.09615384615384616,0.8237179487179487,312,312
swe,ai_sweden_llama3_8b,strong,0.7258064516129032,llama3_1_8b_reference,0.07096774193548387,0.6548387096774194,310,310
swe,gpt_sw3,weak,0.5935483870967742,llama3_1_8b_reference,0.07096774193548387,0.5225806451612903,310,310
