fit,converged,optimizer,optimizer_attempts,random_seed,optimizer_message,iterations,gradient_norm,objective,n,n_prompts,n_attack_languages,prompt_random_intercept_sd,language_random_intercept_sd,covariance_min_eigenvalue,hessian_positive_definite,fixed_effect_prior_sd,log_random_sd_prior_sd,warnings,prior_attempt_warnings,fit_method
pooled,True,BFGS,1,20262916,Optimization terminated successfully.,83,2.3150729621584687e-05,13768.431164851097,31778,313,13,0.5124993973126861,0.4978548609209631,0.00014483385710484811,True,10.0,0.5,,,laplace_map_crossed_logistic_glmm
weak,True,BFGS,1,20261752,Optimization terminated successfully.,64,3.0351170987205773e-05,7295.562419997543,15766,313,13,0.42544430915312403,1.0148828354261765,0.00028801766795614493,True,10.0,0.5,,,laplace_map_crossed_logistic_glmm
strong,True,BFGS,1,20263013,Optimization terminated successfully.,80,1.8481115318200794e-05,5199.25934897166,16012,313,13,0.8065382302770746,0.7532649640321862,0.00034184163846190884,True,10.0,0.5,,,laplace_map_crossed_logistic_glmm
spec_components,True,BFGS,1,20273787,Optimization terminated successfully.,83,1.6152480522445514e-05,13766.880246769517,31778,313,13,0.5126928676473832,0.5160749760548716,0.00011329233585630453,True,10.0,0.5,,,laplace_map_crossed_logistic_glmm
tokenizer_robustness,True,BFGS,2,20283846,Optimization terminated successfully.,83,1.9877240759924536e-05,12435.822129543225,27643,313,13,0.47761046812364083,0.5288329129290419,0.0001656947707665294,True,10.0,0.5,,"Laplace fitting did not converge, |gradient|=0.000040",laplace_map_crossed_logistic_glmm
