fit,predictor,estimate,std_error,ci_lower,ci_upper,odds_ratio,odds_ratio_ci_lower,odds_ratio_ci_upper,posterior_probability_positive,p_value,interval_type,n,fit_method
excluding_aligned_language,distance_z,-0.27623240289652545,0.01957437810914701,-0.3145981839904536,-0.23786662180259732,0.758636600928787,0.7300821740446535,0.78830782715917,1.6032261349597175e-45,,laplace_approx_95_credible,29286,laplace_map_crossed_logistic_glmm
excluding_aligned_language,spec_z,1.1901154618556866,0.06657069392911423,1.0596369017546228,1.3205940219567505,3.287460761790722,2.885323143273281,3.7456457123388556,1.0,,laplace_approx_95_credible,29286,laplace_map_crossed_logistic_glmm
excluding_translation_caveat_languages,distance_z,-0.23178696780462024,0.03131925591622731,-0.2931727094004258,-0.17040122620881473,0.7931150643544518,0.7458933067863313,0.8433263840590525,6.769270364421417e-14,,laplace_approx_95_credible,24538,laplace_map_crossed_logistic_glmm
excluding_translation_caveat_languages,spec_z,0.7517964396548322,0.08288918981564736,0.5893336276161634,0.9142592516935011,2.120806497424648,1.8027866877805923,2.4949264546965693,1.0,,laplace_approx_95_credible,24538,laplace_map_crossed_logistic_glmm
excluding_blaser_flagged,distance_z,-0.1259529332438895,0.02354826044462818,-0.17210752371536076,-0.07979834277241828,0.88165634251092,0.8418886453065777,0.9233025182406025,4.429045806891193e-08,,laplace_approx_95_credible,30985,laplace_map_crossed_logistic_glmm
excluding_blaser_flagged,spec_z,1.1146276998612084,0.06397695061194296,0.9892328766618002,1.2400225230606166,3.048433035846441,2.689170755240938,3.4556912966307123,1.0,,laplace_approx_95_credible,30985,laplace_map_crossed_logistic_glmm
