fit,predictor,estimate,std_error,ci_lower,ci_upper,odds_ratio,odds_ratio_ci_lower,odds_ratio_ci_upper,posterior_probability_positive,p_value,interval_type,n,fit_method
weak,distance_z,-0.27250173080388906,0.037407963196176876,-0.3458213386683957,-0.1991821229393824,0.7614721112151732,0.7076389035221011,0.8194006480882852,1.6132321496655593e-13,,laplace_approx_95_credible,15766,laplace_map_crossed_logistic_glmm
weak,spec_z,0.3338661180954469,0.07349041318073317,0.1898249082612099,0.47790732792968393,1.3963561842341685,1.2090378865775377,1.6126960245790134,0.9999972268889781,,laplace_approx_95_credible,15766,laplace_map_crossed_logistic_glmm
strong,distance_z,-0.2769899811062813,0.03712977535210165,-0.34976434079640056,-0.20421562141616206,0.7580620920159941,0.704854175521778,0.8152865589911089,4.324482197277594e-14,,laplace_approx_95_credible,16012,laplace_map_crossed_logistic_glmm
strong,spec_z,0.7078712690091534,0.0912104583030002,0.529098770735273,0.8866437672830338,2.029666043662256,1.6974018708444754,2.4269704891665267,0.9999999999999958,,laplace_approx_95_credible,16012,laplace_map_crossed_logistic_glmm
