fit,converged,optimizer,optimizer_attempts,random_seed,optimizer_message,iterations,gradient_norm,objective,n,n_prompts,n_attack_languages,prompt_random_intercept_sd,language_random_intercept_sd,covariance_min_eigenvalue,hessian_positive_definite,fixed_effect_prior_sd,log_random_sd_prior_sd,warnings,prior_attempt_warnings,fit_method
excluding_aligned_language,True,BFGS,1,20297093,Optimization terminated successfully.,79,3.818599775402532e-05,12709.658257065421,29286,313,13,0.4863979933820197,0.46991617603525593,0.00016635910062862345,True,10.0,0.5,,,laplace_map_crossed_logistic_glmm
excluding_translation_caveat_languages,True,BFGS,1,20338866,Optimization terminated successfully.,68,8.536176156279252e-06,9903.940261925114,24538,313,10,0.5646028864941846,0.5475807358160647,0.00018541519581220879,True,10.0,0.5,,,laplace_map_crossed_logistic_glmm
excluding_blaser_flagged,True,BFGS,1,20291638,Optimization terminated successfully.,83,1.2551834161477538e-05,13373.264317881034,30985,313,13,0.5038252477954652,0.4999631239193566,0.00014849155122608772,True,10.0,0.5,,,laplace_map_crossed_logistic_glmm
