model,predictor,n,spearman_rho,ci_low,ci_high,p_value,interval_method,interpretation
ai_sweden_llama3_8b,spec_score,13,0.7307692307692307,0.17002600884621866,0.9661016949152542,,paired_language_cell_percentile_bootstrap_10000,descriptive_only_purposive_language_inventory
bggpt_7b,spec_score,13,0.6703296703296703,0.044637741940589094,0.9774027214132252,,paired_language_cell_percentile_bootstrap_10000,descriptive_only_purposive_language_inventory
bggpt_gemma_9b,spec_score,13,-0.07142857142857142,-0.680672268907563,0.583380681818181,,paired_language_cell_percentile_bootstrap_10000,descriptive_only_purposive_language_inventory
gpt_sw3,spec_score,13,0.8406593406593407,0.49295774647887314,0.9830985915492956,,paired_language_cell_percentile_bootstrap_10000,descriptive_only_purposive_language_inventory
llama3_1_8b_reference,spec_score,13,-0.6098901098901099,-0.8985986706757396,-0.09714285714285714,,paired_language_cell_percentile_bootstrap_10000,descriptive_only_purposive_language_inventory
llamantino_2_ultrachat_7b,spec_score,12,0.5884422334042109,0.05376344086021506,0.8913043478260869,,paired_language_cell_percentile_bootstrap_10000,descriptive_only_purposive_language_inventory
llamantino_anita_8b,spec_score,13,-0.33012410872843767,-0.8648002415189804,0.3613504723923467,,paired_language_cell_percentile_bootstrap_10000,descriptive_only_purposive_language_inventory
sabia_3,spec_score,13,-0.6648351648351648,-0.9943181818181818,-0.0704225352112676,,paired_language_cell_percentile_bootstrap_10000,descriptive_only_purposive_language_inventory
sagui_7b,spec_score,13,0.8571428571428571,0.4677871148459384,0.9943977591036415,,paired_language_cell_percentile_bootstrap_10000,descriptive_only_purposive_language_inventory
