model,total_attempts,api_failure_rate,provider_block_rate,scoring_failure_rate,refusal_rate
ai_sweden_llama3_8b,4021,0.0,0.0,0.0002486943546381497,0.6037313432835821
bggpt_7b,4021,0.0,0.0,0.0,0.2472021885103208
bggpt_gemma_9b,4021,0.0,0.0,0.01715991047003233,0.8937246963562753
gpt_sw3,4021,0.0,0.0,0.0,0.7241979607062919
llama3_1_8b_reference,4021,0.0,0.0,0.0,0.877144988808754
llamantino_2_ultrachat_7b,4021,0.0,0.0,0.0014921661278288984,0.4854296388542964
llamantino_anita_8b,4021,0.0,0.0,0.0,0.8955483710519772
sabia_3,4021,0.0,0.0,0.0004973887092762995,0.9196317491913412
sagui_7b,4021,0.0,0.0,0.0,0.33126088037801543
